イベントNo.,イベント題名,クイズ文,満腹増減1,安心増減1,満腹増減2,安心増減2,正解,不正解,イベント概要
33,骨折の応急処置,骨が折れているみたい。応急処置に使えるものは？,0,1,0,-1,新聞紙,トイレットペーパー,折れにくい棒を作って固定する。新聞紙を丸め硬い棒を作ることも有効。トイレットペーパーは破れやすく、巻くのに向いていない。
34,ペットとの避難,ペットとの避難について、まずすべきことは？,0,1,0,-1,避難所がペット受け入れ可能か確認する,車中泊をする,避難所がペット受け入れ可能かどうか、予め確認しておくと安心。自宅に残ったり外で過ごすことは健康のためにもやめておこう！
35,同伴避難って何？,ペットに関する用語で「同伴避難」の意味は？,0,1,0,-1,ペットと同じ場所で避難生活すること,ペットと一緒に避難所まで移動すること,ペットと一緒に避難所まで[移動]することを指す(「同伴避難」は、ペットと同じ場所で避難すること)。調べてみよう！
36,見知らぬ言語,日本語が通じない外国人の避難者がいたら？,0,1,0,-1,防災局の2ヶ国語放送を紹介する,身振り手振りで頑張る,日本語が通じない場合、通訳依頼のほか、防災局の2ヶ国語放送を聞けるようにしたり、外国人住居者ネットワークを紹介しよう。
37,学校の授業はどうなるんだろう？,避難者がいる場合でも、学校の授業は再開する？,0,1,0,-1,授業は再開することがある,避難者がいる間は休校になる,状況によっては、避難者がいる状態でも学校の授業が再開になることがあります。
38,避難所生活の終わりとは？,避難所生活が終了するのはいつ？,0,2,0,-2,自宅周辺が安全とわかったとき,政府が発表した時,自宅周辺の安全が確認された時や仮設住宅ができた時に終了する。避難所は、電気水道などのライフラインが復旧を目処に閉鎖する。
39,いろんな種類の缶詰があるよ,非常食の缶詰はどのようなものがいい？,1,2,0,-1,手で開けられる缶詰,値段が低いもの,値段よりも、手で蓋を開けられるなど、利便性の高いものを選ぼう。非常食の缶詰は賞味期限が近くなったら普段遣いしていこう。
40,夏・避難所・危険！,夏の避難所生活で気をつけるべきことは？,0,2,0,-1,水分補給不足による熱中症,日焼けによる皮膚癌,日焼けも危険だが、なにより熱中症に注意！トイレに行く回数を減らすため、水分補給を疎かにしてしまいがちです。
41,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
42,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
43,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
44,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
45,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
46,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
47,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
48,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
49,見知らぬ天井！,誉毒,0,0,0,0,搬送,救急車,最近元気が出ない……そう気づいたときにはもう遅かった……
50,いでよ神龍！叶える願いは誰のもの？,叶える願いは誰のもの？,0,0,0,0,正解,不正解,神龍降臨！叶える願いは俺のもの！
51,無事に帰宅,クイズ文,0,0,0,0,正解,不正解,避難生活を無事に終えて、修理された家に帰ることができた。
52,仮設住宅へ,クイズ文,0,0,0,0,正解,不正解,避難所生活は終わったが、地震で崩壊した家の修理がまだ終わっていないため仮設住宅に行くこととなった。
53,まだ避難所での生活が続く,クイズ文,0,0,0,0,正解,不正解,家の修理が終わらず、仮設住宅にも入れずに避難所での生活を続けることになった。
54,配給,配給がきた,0,0,0,0,貰いに行く,貰いに行かない,配給がきた。
